ID	Dev._Stage	Timepoint	Site	Date	Tree_spec.	Tree_Numb	Tree_ID	Defoliation_level	Sample	Latitude	Longitude	Dposcontrol_extraction_ID	Dposcontrol_extraction_kit	Notes	Date_of_extraction	Negative
b47	L6	2	T013	7/18/2015	Balsam_fir	Spr3	T013_Spr3	10	A	50.771329	-68.663839	b47	Kit2		18/07/18	N6
b48	L6	2	T015	7/17/2015	Balsam_fir	Spr1	T015_Spr1	40	A	50.089301	-67.054625	b48	Kit2		18/07/18	N6
b50	L6	2	T016	7/17/2015	Spruce	Bf3	T016_Bf3	45	A	50.309223	-67.402817	b50	Kit2		18/07/18	N6
b51	L6	2	T017	7/18/2015	Balsam_fir	Spr3	T017_Spr3	10	A	50.394383	-68.85262	b51	Kit2		20/07/18	N7
b52	L6	2	T017	7/18/2015	Spruce	Bf1	T017_Bf1	10	A	50.394383	-68.85262	b52	Kit2		20/07/18	N7
b53	Foliage	2	QT1	6/24/2015	Balsam_fir	Spr2	QT1_Spr2	5	N/A	48.19458336	-67.27085	b53	Kit2		20/07/18	N7
b54	Foliage	2	QT1	6/24/2015	Balsam_fir	Spr3	QT1_Spr3	5	N/A	48.19458336	-67.27085	b54	Kit2		20/07/18	N7
b55	Foliage	2	QT2	6/18/2015	Spruce	Bf1	QT2_Bf1	25	N/A	48.28358333	-67.47431668	b55	Kit2		20/07/18	N7
b56	Foliage	2	QT2	6/18/2015	Spruce	Bf2	QT2_Bf2	25	N/A	48.28358333	-67.47431668	b56	Kit2		20/07/18	N7
b57	Foliage	2	QT3	6/18/2015	Balsam_fir	Spr1	QT3_Spr1	55	N/A	48.24339998	-67.46229996	b57	Kit2		20/07/18	N7
b58	Foliage	2	QT3	6/18/2015	Spruce	Bf1	QT3_Bf1	15	N/A	48.24339998	-67.46229996	b58	Kit2		20/07/18	N7
b59	Foliage	2	QT3	6/18/2015	Balsam_fir	Spr2	QT3_Spr2	15	N/A	48.24339998	-67.46229996	b59	Kit2		20/07/18	N7
b60	Foliage	2	QC1	6/18/2015	Balsam_fir	Spr2	QC1_Spr2	55	N/A	48.19141667	-67.26413333	b60	Kit2		20/07/18	N7
b61	Foliage	2	QC1	6/18/2015	Balsam_fir	Spr3	QC1_Spr3	5	N/A	48.19141667	-67.26413333	b61	Kit2		20/07/18	N7
b62	Foliage	2	QC1	6/18/2015	Balsam_fir	Spr5	QC1_Spr5	5	N/A	48.19141667	-67.26413333	b62	Kit2		20/07/18	N7
b63	Foliage	2	QC2	6/18/2015	Spruce	Bf1	QC2_Bf1	5	N/A	48.2852333	-67.42145	b63	Kit2		20/07/18	N7
b64	Foliage	2	QC2	6/18/2015	Balsam_fir	Spr1	QC2_Spr1	45	N/A	48.2852333	-67.42145	b64	Kit2		20/07/18	N7
